Name,Gender,City,Age,Income,Risk Tolerance,Investment History,Financial Objective,Preferred Sector,Investment Frequency,Recommended Domain
Margaux Blin,Man,Strasbourg,44,28314.86,Medium,"Obligations, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Maggie Valentin,Women,Nice,48,39035.33,Medium,Actions,éducation des enfants,Immobilier,Trimestriel,Immobilier
Corinne Rolland,Women,Toulouse,56,111730.74,High,"Fundraising, Startups, Actions, Cryptomonnaies, Obligations",Épargne de sécurité,Technologie,Mensuel,ETF
OcÃ©ane Guillou,Women,Toulouse,45,58862.81,Medium,"Cryptomonnaies, Matières premières, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
HonorÃ© du Weiss,Man,Marseille,44,54382.3,Medium,"Actions, ETF",Retraite,Industrie,Trimestriel,Obligations
HonorÃ© Bertin,Man,Paris,70,160205.18,High,"Cryptomonnaies, Matières premières, Obligations",Épargne de sécurité,Technologie,Mensuel,Actions
Margaud Laine,Man,Bordeaux,48,51554.88,Medium,"Cryptomonnaies, Actions, Immobilier",Achat immobilier,Santé,Trimestriel,ETF
Patricia Chevalier-Renault,Man,Paris,52,73812.86,Medium,"Cryptomonnaies, Actions, Startups",Épargne de sécurité,Finance,Trimestriel,ETF
Ã‰ric Monnier-Marin,Man,Paris,32,70564.42,High,"MatiÃ¨res premiÃ¨res, ETF, Obligations",Investir dans l'éducation,Technologie,Trimestriel,Cryptomonnaies
Susanne Simon,Women,Paris,25,12013.85,Medium,"Cryptomonnaies, Actions",épargne de départ,Agriculture,Trimestriel,Obligations
Aurore Barbe de Pichon,Man,Nice,25,40276.84,High,"MatiÃ¨res premiÃ¨res, Startups, Actions, Immobilier, ETF",Investir dans l'éducation,Santé,Annuel,ETF
Madeleine Lacombe-Lejeune,Man,Marseille,25,22149.65,Medium,"Cryptomonnaies, Actions, ETF",épargne de départ,Immobilier,Trimestriel,Immobilier
Marcelle Texier,Women,Nice,30,44511.55,High,"Actions, Immobilier, Cryptomonnaies, ETF, Obligations",Voyages,Finance,Annuel,Actions
Nicolas Brunel,Women,Lyon,41,46810.54,Medium,"Cryptomonnaies, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Paulette Samson,Women,Toulouse,38,33133.38,Medium,"Investissement Socialement Responsable, Fundraising",Achat immobilier,Consommation,Trimestriel,Obligations
MichÃ¨le Bailly,Women,Marseille,41,53673.73,Medium,"ETF, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Gabriel Lesage,Women,Lyon,54,100067.06,High,"Obligations, Actions, ETF, Immobilier",Retraite,Finance,Mensuel,Actions
AndrÃ©e-Catherine Tanguy,Women,Lille,61,94228.71,Medium,"MatiÃ¨res premiÃ¨res, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Gabrielle Gaudin,Women,Paris,51,134862.89,High,"Immobilier, Actions, Obligations",Épargne de sécurité,Technologie,Mensuel,ETF
Sylvie Leroux,Man,Nice,44,106072.72,High,"Obligations, Actions, Investissement Socialement Responsable, Immobilier",Achat immobilier,Finance,Mensuel,Actions
Daniel Briand,Women,Toulouse,53,62111.1,Medium,"Actions, ETF, Immobilier",Retraite,Consommation,Trimestriel,Obligations
Augustin Seguin,Women,Strasbourg,45,40878.63,Medium,Obligations,Retraite,Agriculture,Trimestriel,Obligations
Daniel Pichon-Breton,Women,Paris,41,48923.68,Medium,"Immobilier, Startups",Retraite,Finance,Trimestriel,ETF
Thomas Bonnin,Man,Paris,43,83775.73,High,"MatiÃ¨res premiÃ¨res, Actions, Immobilier, ETF, Obligations",Achat immobilier,Technologie,Mensuel,Actions
Nicole-Sylvie Leleu,Women,Paris,54,127416.27,High,"Immobilier, Cryptomonnaies, Actions, Startups",Épargne de sécurité,Finance,Mensuel,ETF
JosÃ©phine Hoarau-Bertin,Man,Nice,55,111171.62,High,"Immobilier, Actions, Obligations",Retraite,Santé,Mensuel,Actions
Margaret GrÃ©goire,Women,Toulouse,42,64515.74,Medium,"Cryptomonnaies, Immobilier",Retraite,Santé,Trimestriel,ETF
BenoÃ®t Alves,Man,Paris,35,46228.5,Medium,"Immobilier, Matières premières, Obligations",Achat immobilier,Finance,Trimestriel,ETF
Nicolas Bruneau,Man,Paris,49,143595.18,High,"Actions, Startups",éducation des enfants,Santé,Mensuel,ETF
Hortense Turpin,Women,Strasbourg,47,53855.85,Medium,Obligations,Retraite,Consommation,Trimestriel,Obligations
Georges Pineau,Man,Montpellier,32,30873.98,Medium,"Cryptomonnaies, Actions",épargne de départ,Industrie,Trimestriel,Obligations
Jacques Simon,Women,Marseille,41,73478.16,High,Actions,éducation des enfants,Technologie,Trimestriel,Actions
Aurore Blanchard-Leconte,Women,Paris,29,39247.68,Medium,"Immobilier, Startups",Investir dans l'éducation,Agriculture,Trimestriel,Obligations
Denis Perrot,Man,Nice,25,51310.26,High,"Actions, ETF, Immobilier",épargne de départ,Finance,Trimestriel,ETF
Juliette Giraud,Women,Strasbourg,52,80392.82,Medium,"Immobilier, Fundraising",Retraite,Immobilier,Trimestriel,Immobilier
Alix Millet,Women,Nantes,38,52306.64,Medium,"Cryptomonnaies, Obligations, Immobilier",Achat immobilier,Santé,Trimestriel,Actions
StÃ©phane-Emmanuel Pereira,Women,Paris,50,53817.31,Medium,Immobilier,Retraite,Industrie,Trimestriel,Obligations
Ã‰mile LefÃ¨vre,Women,Marseille,55,104016.04,High,"Immobilier, ETF, Obligations",Retraite,Santé,Mensuel,ETF
FranÃ§ois-JÃ©rÃ´me Pinto,Man,Nantes,33,45156.73,Medium,"MatiÃ¨res premiÃ¨res, Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Martine Cohen,Women,Nice,40,70908.14,High,"ETF, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
OcÃ©ane Baudry,Women,Toulouse,55,49253.88,Medium,Actions,Retraite,Immobilier,Trimestriel,Immobilier
Bernard Perrin,Man,Paris,25,29309.57,Medium,"ETF, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
FranÃ§ois Pinto,Man,Montpellier,38,35795.61,Medium,"Actions, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Isabelle Dupont,Women,Lyon,43,82747.26,High,"Actions, ETF, Obligations",éducation des enfants,Technologie,Mensuel,Actions
HÃ©lÃ¨ne de la Lamy,Man,Nice,45,81531.35,High,"Actions, ETF, Obligations",éducation des enfants,Technologie,Mensuel,ETF
Christine Guillou,Women,Toulouse,43,43150.93,Medium,"Actions, Obligations",Achat immobilier,Technologie,Trimestriel,Actions
Alice-Ã‰dith Chevallier,Women,Paris,54,36502.99,Medium,"Actions, Matières premières",Retraite,Agriculture,Trimestriel,Obligations
Christelle Becker Le Pottier,Man,Marseille,25,21517.11,Medium,"Cryptomonnaies, Actions, Fundraising",épargne de départ,Agriculture,Trimestriel,Obligations
LÃ©on Menard,Women,Paris,46,71468.68,Medium,"Cryptomonnaies, ETF",Retraite,Industrie,Trimestriel,Obligations
Camille Texier,Women,Toulouse,52,24168.33,Low,MatiÃ¨res premiÃ¨res,Retraite,Immobilier,Annuel,Immobilier
ThÃ©odore-Pierre Pruvost,Man,Paris,40,58423.94,Medium,"Immobilier, Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Susan-JosÃ©phine Mathieu,Women,Marseille,33,42014.64,Medium,"Immobilier, Actions, Obligations",Investir dans l'éducation,Technologie,Trimestriel,Actions
Marc-Daniel Blanc,Women,Nantes,29,12083.6,Medium,"Cryptomonnaies, Obligations",Voyages,Immobilier,Trimestriel,Immobilier
OcÃ©ane-Claude Arnaud,Man,Lyon,68,120922.44,Medium,"Cryptomonnaies, Startups",Retraite,Agriculture,Trimestriel,Obligations
Christelle Cordier-Letellier,Man,Paris,40,84120.24,High,"ETF, Immobilier",éducation des enfants,Technologie,Mensuel,Actions
Alexandre Denis,Women,Marseille,58,80407.49,Medium,"Obligations, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
FrÃ©dÃ©ric Le Hernandez,Man,Marseille,25,9519.75,Medium,"MatiÃ¨res premiÃ¨res, ETF",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Gilles Perrot,Man,Paris,52,77443.64,Medium,"Cryptomonnaies, Actions, ETF",Retraite,Immobilier,Trimestriel,Immobilier
Raymond Marin,Man,Paris,30,63589.07,High,"Fundraising, Actions, Immobilier, Cryptomonnaies, Obligations",Investir dans l'éducation,Technologie,Trimestriel,Actions
Thibault Berger,Man,Paris,54,136375,High,"Cryptomonnaies, Actions, Matières premières, ETF",Retraite,Finance,Mensuel,Actions
Claire Guillaume,Man,Montpellier,42,61773.54,Medium,"Immobilier, Actions, Fundraising",Achat immobilier,Immobilier,Trimestriel,Immobilier
Dominique de la Blin,Man,Nantes,25,34714,High,"Obligations, ETF, Immobilier",Voyages,Immobilier,Annuel,Immobilier
OcÃ©ane Vaillant,Man,Toulouse,39,59068.8,Medium,"Actions, ETF",Retraite,Technologie,Trimestriel,ETF
GÃ©rard Laporte Le Carpentier,Man,Lille,57,46595.25,Medium,"Cryptomonnaies, Actions",Épargne de sécurité,Santé,Trimestriel,ETF
Martine Julien,Man,Paris,43,103375.1,High,"MatiÃ¨res premiÃ¨res, Startups, Actions, Immobilier, Obligations",Retraite,Santé,Mensuel,Actions
Margaret VallÃ©e,Women,Bordeaux,41,51521,Medium,"Cryptomonnaies, Actions",Retraite,Industrie,Trimestriel,Obligations
Laurent Buisson de la Navarro,Man,Toulouse,36,39517.98,Medium,"Actions, Matières premières, ETF",éducation des enfants,Industrie,Trimestriel,Obligations
Alexandre Marques,Women,Toulouse,27,30419.61,Medium,"Actions, ETF, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Tristan Renaud,Man,Nantes,39,63164.51,High,"Immobilier, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
JosÃ©phine Hardy,Women,Paris,50,120584.86,High,Obligations,Retraite,Santé,Mensuel,Actions
Julien Payet,Man,Toulouse,41,41631.7,Medium,"Cryptomonnaies, Actions",Achat immobilier,Santé,Trimestriel,Actions
Marc Le Gall-Bigot,Man,Montpellier,53,74715.59,Medium,"Actions, Investissement Socialement Responsable",Retraite,Technologie,Trimestriel,ETF
Marcelle Antoine,Women,Paris,35,61291.73,High,"Cryptomonnaies, Actions, ETF",Achat immobilier,Finance,Trimestriel,ETF
GÃ©rard Bailly-Samson,Man,Nice,35,76942.49,High,"ETF, Immobilier",éducation des enfants,Technologie,Trimestriel,Startups
Daniel Gauthier,Man,Paris,31,62605.02,High,"Cryptomonnaies, ETF, Obligations",Voyages,Technologie,Trimestriel,ETF
Jeannine Brun,Women,Paris,38,68838.01,High,"Actions, ETF, Immobilier",Achat immobilier,Finance,Trimestriel,Actions
Marie Guichard,Women,Strasbourg,45,58510.13,Medium,"Investissement Socialement Responsable, ETF",Retraite,Consommation,Trimestriel,Obligations
Roger Charpentier,Man,Lyon,34,74414.13,High,"Cryptomonnaies, Actions, Obligations",épargne de départ,Technologie,Trimestriel,Cryptomonnaies
Marianne Guilbert,Man,Paris,28,44005.58,High,"Actions, Obligations",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Isabelle Perret,Women,Toulouse,46,32567.46,Medium,"MatiÃ¨res premiÃ¨res, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Alexandre Carlier,Man,Lyon,26,42581.95,High,"Immobilier, Obligations, Startups",Investir dans l'éducation,Finance,Annuel,ETF
Michelle Fernandes Le Legrand,Man,Marseille,63,63604.64,Medium,"MatiÃ¨res premiÃ¨res, Actions",Épargne de sécurité,Consommation,Trimestriel,Obligations
Joseph Berthelot du Paul,Women,Paris,51,82473.43,Medium,"ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
FrÃ©dÃ©rique Le Roux,Women,Lyon,60,85588.51,Medium,"Investissement Socialement Responsable, Matières premières",Épargne de sécurité,Consommation,Trimestriel,Obligations
Philippe-Ã‰tienne Gilbert,Women,Paris,53,149452.56,High,"ETF, Obligations",Épargne de sécurité,Technologie,Mensuel,ETF
Agathe Gaillard,Women,Marseille,25,25403.75,Medium,"ETF, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Lucas Michel,Man,Paris,47,44260.6,Medium,Obligations,éducation des enfants,Immobilier,Trimestriel,Immobilier
Juliette Diallo,Women,Toulouse,40,26928.45,Medium,"Cryptomonnaies, ETF, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Zacharie Pierre-Blot,Women,Toulouse,53,28475.75,Medium,"Investissement Socialement Responsable, ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Marc de la Delaunay,Women,Paris,29,9306.57,Medium,Actions,Investir dans l'éducation,Consommation,Trimestriel,Obligations
InÃ¨s du Dubois,Women,Bordeaux,40,17694.15,Medium,"Obligations, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Robert MendÃ¨s,Women,Nice,49,81105.13,Medium,"Obligations, Immobilier",Retraite,Finance,Trimestriel,ETF
Audrey Dupont,Women,Bordeaux,31,42164.85,Medium,"MatiÃ¨res premiÃ¨res, Actions, Obligations",Investir dans l'éducation,Finance,Trimestriel,ETF
AndrÃ©-Auguste Bazin,Man,Lyon,68,108727.23,Medium,"Cryptomonnaies, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Madeleine Foucher de Sauvage,Man,Nice,30,40103.96,Medium,"Actions, Immobilier",épargne de départ,Finance,Trimestriel,Actions
Victoire Blanchard,Women,Marseille,38,49061.38,Medium,"Actions, ETF, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Nicolas Colas,Man,Paris,25,39022.34,High,"Obligations, Actions, Immobilier",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Olivie de la Rodriguez,Women,Bordeaux,45,48463.85,Medium,ETF,Retraite,Santé,Trimestriel,ETF
BenoÃ®t Vidal-Navarro,Man,Marseille,40,55573.23,Medium,"Cryptomonnaies, Obligations",Retraite,Finance,Trimestriel,ETF
Audrey-Margaux De Sousa,Women,Paris,59,117644.31,High,"Startups, Obligations, Actions, Fundraising",Retraite,Finance,Mensuel,Actions
DorothÃ©e Nicolas,Man,Toulouse,29,32425.14,Medium,"MatiÃ¨res premiÃ¨res, Actions, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
ClÃ©mence-Sylvie Pineau,Man,Lyon,35,43056.6,Medium,"Cryptomonnaies, Immobilier",Retraite,Consommation,Trimestriel,Obligations
Alphonse Dupuy,Man,Montpellier,44,47262.62,Medium,"Obligations, Startups",Retraite,Agriculture,Trimestriel,Obligations
Georges Morvan du Bouvier,Women,Lyon,38,50633.97,Medium,"ETF, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
OcÃ©ane Guyot,Man,Montpellier,55,43826.54,Medium,Cryptomonnaies,Retraite,Agriculture,Trimestriel,Obligations
William Roussel de la Roussel,Women,Marseille,35,42073.39,Medium,"Startups, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Anne Mercier de la Seguin,Women,Paris,33,49513.33,Medium,"Actions, ETF",épargne de départ,Immobilier,Trimestriel,Immobilier
Benjamin Mallet,Women,Paris,65,93961.6,Medium,"Actions, Fundraising",Retraite,Technologie,Trimestriel,ETF
Pauline Petit,Women,Nice,41,81348.33,High,"Investissement Socialement Responsable, Actions, Immobilier, ETF, Obligations",Retraite,Finance,Mensuel,ETF
Isabelle Vincent,Man,Marseille,54,82014.89,Medium,"MatiÃ¨res premiÃ¨res, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Zacharie Rossi,Women,Paris,51,54863.93,Medium,Actions,Retraite,Agriculture,Trimestriel,Obligations
Alex Cousin,Women,Paris,48,105788.57,High,"Immobilier, Actions, ETF, Obligations",éducation des enfants,Santé,Mensuel,ETF
Bernard Hebert,Man,Lille,61,101499.58,Medium,ETF,Retraite,Immobilier,Trimestriel,Immobilier
Virginie Lemonnier,Man,Paris,42,77763.09,High,"Startups, Cryptomonnaies, Matières premières, Obligations",Achat immobilier,Santé,Trimestriel,ETF
Benjamin Devaux,Women,Bordeaux,64,62922.44,Medium,"Cryptomonnaies, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Susan Le Vaillant,Women,Marseille,64,90212.83,Medium,"Cryptomonnaies, Actions, Obligations",Épargne de sécurité,Consommation,Trimestriel,Obligations
Pauline de la Ferrand,Women,Bordeaux,39,47028.01,Medium,"Actions, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Sylvie Louis,Man,Bordeaux,54,75189.26,Medium,"Actions, ETF",Épargne de sécurité,Agriculture,Trimestriel,Obligations
Augustin Leblanc,Man,Paris,26,33478.5,Medium,"Immobilier, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Michelle Weiss du Maury,Women,Marseille,35,60827.35,High,"Actions, ETF, Startups",éducation des enfants,Technologie,Trimestriel,ETF
Philippe Texier-Guillot,Man,Bordeaux,35,28297.66,Medium,"Actions, Obligations",Retraite,Finance,Trimestriel,ETF
Hugues Bernard,Women,Lyon,45,49410.24,Medium,"Obligations, ETF, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
Antoinette Ledoux,Man,Marseille,70,100325.99,Medium,"Actions, ETF, Fundraising",Retraite,Technologie,Trimestriel,ETF
Jean Lucas de Marion,Women,Paris,25,38009.18,High,"Cryptomonnaies, Obligations, ETF, Immobilier",Investir dans l'éducation,Immobilier,Annuel,Immobilier
PÃ©nÃ©lope Dijoux,Women,Toulouse,38,46737.42,Medium,"Immobilier, Startups",Achat immobilier,Santé,Trimestriel,Actions
Paulette de la Costa,Women,Marseille,25,20676.52,Medium,"Actions, ETF, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Thierry Chauvet,Man,Lyon,28,27725.9,Medium,"Actions, Immobilier",épargne de départ,Consommation,Trimestriel,Obligations
AimÃ© ChrÃ©tien,Women,Marseille,25,28722.33,Medium,Obligations,épargne de départ,Immobilier,Trimestriel,Immobilier
Pierre Garcia-Leduc,Women,Marseille,25,19554.16,Medium,"ETF, Obligations",Voyages,Consommation,Trimestriel,Obligations
NoÃ©mi-Louise Le Roux,Man,Marseille,46,48972.52,Medium,"Investissement Socialement Responsable, Matières premières",Achat immobilier,Finance,Trimestriel,ETF
Sophie Hardy,Man,Paris,51,51308.87,Medium,"Investissement Socialement Responsable, Actions",Retraite,Finance,Trimestriel,ETF
Dominique Bouvet,Women,Lyon,36,65023.51,High,"Cryptomonnaies, Actions",éducation des enfants,Finance,Trimestriel,ETF
Olivier Albert,Man,Nantes,58,86658.15,Medium,"Investissement Socialement Responsable, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
FrÃ©dÃ©ric Gimenez,Women,Paris,48,76306.45,Medium,"Actions, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
ThÃ©rÃ¨se Hernandez,Women,Marseille,43,64184.18,Medium,"Actions, Obligations",éducation des enfants,Technologie,Trimestriel,ETF
Marcelle-Catherine Brun,Women,Lille,50,71672.15,Medium,Cryptomonnaies,Retraite,Agriculture,Trimestriel,Obligations
Emmanuel Masse,Man,Marseille,31,27404.02,Medium,"Actions, ETF, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Constance Goncalves-MendÃ¨s,Women,Marseille,52,63163.2,Medium,"Actions, Immobilier",Retraite,Consommation,Trimestriel,Obligations
Madeleine Bonneau,Man,Marseille,33,30538.5,Medium,"Actions, Immobilier",épargne de départ,Consommation,Trimestriel,Obligations
MichÃ¨le du Charrier,Women,Toulouse,27,28603.24,Medium,"Actions, ETF",Investir dans l'éducation,Consommation,Trimestriel,Obligations
CÃ©lina Bruneau,Women,Toulouse,39,45258.44,Medium,"Cryptomonnaies, Actions, Fundraising",Retraite,Immobilier,Trimestriel,Immobilier
Laurence Bouvier,Women,Bordeaux,43,58168.84,Medium,"ETF, Immobilier",Retraite,Finance,Trimestriel,ETF
JÃ©rÃ´me Lefort,Women,Marseille,47,80704.06,Medium,"Obligations, Investissement Socialement Responsable, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Michel Ruiz-Rey,Women,Paris,44,55188.07,Medium,"Actions, Fundraising, Obligations",Achat immobilier,Santé,Trimestriel,Actions
Alix LÃ©vÃªque,Man,Nantes,42,36757.99,Medium,"Startups, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
VÃ©ronique Lopez,Women,Lyon,25,24594.17,Medium,"Startups, Immobilier",Voyages,Immobilier,Trimestriel,Immobilier
AndrÃ© Lebrun,Man,Lille,35,34930.79,Medium,"Actions, ETF",éducation des enfants,Immobilier,Trimestriel,Immobilier
Hortense Germain,Women,Paris,41,63579.27,Medium,"MatiÃ¨res premiÃ¨res, Investissement Socialement Responsable",Achat immobilier,Santé,Trimestriel,Actions
AdÃ¨le-Nathalie Schneider,Women,Paris,31,49278.71,High,"Obligations, ETF, Startups",Investir dans l'éducation,Technologie,Annuel,ETF
AndrÃ© Brunel-Pires,Man,Paris,39,47835.17,Medium,"Actions, Immobilier",Retraite,Santé,Trimestriel,ETF
Alexandrie Fernandes,Man,Lyon,52,78503.34,Medium,"Cryptomonnaies, Obligations, Startups",Épargne de sécurité,Technologie,Trimestriel,ETF
AdÃ¨le Le Delmas,Women,Paris,49,97214.75,High,"Actions, Immobilier, Cryptomonnaies, ETF, Obligations",Retraite,Technologie,Mensuel,Actions
Pauline Lefort,Man,Lille,41,59338.09,Medium,"Actions, ETF, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Antoinette Ã‰tienne-VallÃ©e,Man,Paris,63,129666.22,High,"Obligations, Immobilier",Épargne de sécurité,Finance,Mensuel,Actions
Jules de la Dufour,Women,Marseille,25,22572.7,Medium,"MatiÃ¨res premiÃ¨res, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Philippe Pires-Rocher,Women,Strasbourg,35,40901.49,Medium,"Immobilier, Startups",éducation des enfants,Santé,Trimestriel,ETF
Danielle Ferrand,Man,Strasbourg,45,64170.66,Medium,"Actions, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Benjamin Bouvier Le Bonnet,Women,Paris,40,40351.54,Medium,"MatiÃ¨res premiÃ¨res, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Joseph Parent,Women,Paris,27,32005.77,Medium,"ETF, Immobilier",Investir dans l'éducation,Consommation,Trimestriel,Obligations
Caroline Leroy,Women,Montpellier,44,60964.6,Medium,"ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Odette Salmon,Man,Nice,33,69084.41,High,"Actions, ETF",Voyages,Finance,Trimestriel,Actions
Michelle-Pauline Moreno,Women,Montpellier,31,33293.63,Medium,"Investissement Socialement Responsable, Matières premières",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Richard Lecomte-Blin,Women,Bordeaux,36,29711.96,Medium,"MatiÃ¨res premiÃ¨res, Actions, Startups",éducation des enfants,Immobilier,Trimestriel,Immobilier
Adrienne Laine Le Allard,Women,Marseille,42,52923.72,Medium,"Cryptomonnaies, Actions, ETF",Retraite,Agriculture,Trimestriel,Obligations
Zacharie Perrier du Marin,Man,Paris,49,119577.08,High,"Obligations, Fundraising, Immobilier",Achat immobilier,Technologie,Mensuel,ETF
Gilbert Pages,Man,Nice,47,69255.9,Medium,"Cryptomonnaies, Matières premières",Achat immobilier,Immobilier,Trimestriel,Immobilier
Vincent Legros,Man,Paris,41,56632.42,Medium,"Actions, Matières premières, Obligations",Retraite,Finance,Trimestriel,ETF
Madeleine Gros-Lamy,Women,Strasbourg,30,36997.67,Medium,"Cryptomonnaies, Actions, Obligations",Voyages,Immobilier,Trimestriel,Immobilier
Manon-Constance Barthelemy,Women,Lyon,31,39590.84,Medium,"ETF, Startups",Voyages,Immobilier,Trimestriel,Immobilier
GÃ©rard Gaillard Le Tessier,Man,Marseille,58,105677.02,High,"Immobilier, Actions, Fundraising",Retraite,Santé,Mensuel,ETF
RenÃ©e Le Delahaye,Man,Lyon,41,73570.6,High,"Obligations, Actions, Immobilier",éducation des enfants,Santé,Trimestriel,Actions
Alain Pons,Man,Strasbourg,70,30980.74,Low,Cryptomonnaies,Retraite,Immobilier,Annuel,Immobilier
NoÃ«l Faivre,Man,Toulouse,56,49910.46,Medium,"ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Dominique Henry du Lemoine,Man,Toulouse,45,34827.34,Medium,"Obligations, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Maggie Muller,Man,Marseille,35,37935.94,Medium,"Cryptomonnaies, Obligations",Retraite,Industrie,Trimestriel,Obligations
Susanne Parent,Women,Marseille,51,61967.37,Medium,"Actions, Fundraising",Retraite,Finance,Trimestriel,ETF
StÃ©phane Martineau,Man,Lyon,25,31182.67,Medium,"Cryptomonnaies, Actions, ETF",épargne de départ,Immobilier,Trimestriel,Immobilier
Adrien GuÃ©rin,Women,Paris,35,101162.63,High,"Cryptomonnaies, Actions, ETF, Fundraising",Retraite,Technologie,Mensuel,Cryptomonnaies
BenoÃ®t Letellier,Man,Bordeaux,63,79929.69,Medium,"Cryptomonnaies, Actions, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Christophe-Xavier Paris,Man,Paris,47,103894.3,High,"Actions, ETF, Obligations",éducation des enfants,Technologie,Mensuel,Actions
Martine De Oliveira-Hamel,Man,Toulouse,25,30948.89,Medium,"MatiÃ¨res premiÃ¨res, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Capucine Guillou,Women,Toulouse,25,24837.93,Medium,"ETF, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Jeannine Rolland de FranÃ§ois,Man,Marseille,25,17124.36,Medium,"Cryptomonnaies, Obligations, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
Yves Guillaume,Man,Strasbourg,40,40918.23,Medium,"Immobilier, Obligations",Retraite,Consommation,Trimestriel,Obligations
NoÃ«l Martins,Man,Toulouse,48,45967.23,Medium,"Fundraising, ETF, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
Corinne-PÃ©nÃ©lope Berthelot,Women,Nice,46,98532.44,High,"ETF, Obligations",Achat immobilier,Technologie,Mensuel,ETF
Alice Launay-Mace,Women,Paris,26,44362.49,High,"Cryptomonnaies, Obligations, Actions, Startups",épargne de départ,Immobilier,Annuel,Immobilier
Nicole Weber-Bernard,Women,Nice,40,62728.46,Medium,"ETF, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Caroline Lemaire,Women,Paris,33,32126.45,Medium,"ETF, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
DorothÃ©e-Camille Petitjean,Women,Strasbourg,37,43489.18,Medium,"MatiÃ¨res premiÃ¨res, ETF",Retraite,Consommation,Trimestriel,Obligations
Gilbert Weber,Man,Nantes,58,40194.14,Medium,"ETF, Obligations",Retraite,Technologie,Trimestriel,ETF
Franck Weiss,Women,Lyon,40,64114.45,Medium,"ETF, Immobilier",Retraite,Agriculture,Trimestriel,Obligations
Bernadette Rossi-Lacroix,Man,Lyon,47,86566.67,High,"Immobilier, Actions, ETF, Obligations",Achat immobilier,Finance,Mensuel,ETF
Adrien de la Delaunay,Man,Paris,52,117263.02,High,"ETF, Obligations, Fundraising, Startups",Retraite,Santé,Mensuel,Actions
Jacques Moulin,Man,Nantes,58,111608.54,High,"Fundraising, Startups, Immobilier, Cryptomonnaies, ETF",Épargne de sécurité,Finance,Mensuel,ETF
ZoÃ© Coulon,Women,Marseille,46,21085.85,Medium,"Actions, Startups",Achat immobilier,Agriculture,Trimestriel,Obligations
Olivier-Richard Richard,Women,Marseille,47,65656.12,Medium,"Fundraising, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
