Nom,Genre,Ville,Age,Revenu,Tolérance au Risque,Historique d'Investissement,Objectif Financier,Secteur Préféré,Fréquence d'Investissement,Domaine Recommandé
Julien Ferreira,Femme,Paris,25,32690.42,Élevé,"Actions, Startups",Investir dans l'éducation,Agriculture,Annuel,Obligations
Richard Potier,Femme,Lyon,58,157558.81,Élevé,"Actions, ETF, Obligations",Retraite,Finance,Mensuel,ETF
Madeleine Maurice,Femme,Bordeaux,44,46502.84,Moyen,"Actions, ETF, Obligations",Retraite,Industrie,Trimestriel,Obligations
Aurore Perrot,Femme,Montpellier,40,50369.52,Moyen,"Startups, ETF, Immobilier",Achat immobilier,Finance,Trimestriel,ETF
Michel Julien,Femme,Marseille,39,74105.59,Élevé,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Technologie,Trimestriel,Cryptomonnaies
Philippine Chevalier de Perrin,Homme,Marseille,40,21177.5,Moyen,Cryptomonnaies,éducation des enfants,Immobilier,Trimestriel,Immobilier
Christelle BÃ¨gue,Femme,Lyon,25,25812.23,Moyen,"ETF, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Margaret-Pauline Navarro,Femme,Paris,29,57141.7,Élevé,"Obligations, Actions, Startups",Investir dans l'éducation,Technologie,Trimestriel,Actions
Philippe Moreno,Femme,Paris,44,77248.55,Élevé,"Obligations, Actions, Immobilier",éducation des enfants,Finance,Trimestriel,ETF
AdÃ©laÃ¯de Lecomte,Femme,Marseille,42,32454.11,Moyen,"Cryptomonnaies, Actions, Obligations",Retraite,Santé,Trimestriel,ETF
Alex Besson,Homme,Strasbourg,35,47056.69,Moyen,"Actions, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
Jeannine Charpentier,Homme,Lyon,53,99282.04,Élevé,"Cryptomonnaies, Actions, Obligations",Retraite,Finance,Mensuel,Actions
Lucie Moulin,Homme,Paris,49,84150.9,Moyen,"Immobilier, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
AimÃ© Le Traore,Homme,Nice,32,53795.86,Élevé,"MatiÃ¨res premiÃ¨res, Actions, Immobilier, ETF, Obligations",Investir dans l'éducation,Finance,Trimestriel,Actions
Adrienne Da Silva,Femme,Lyon,42,70948.24,Élevé,"Actions, Obligations",Achat immobilier,Santé,Trimestriel,Actions
Ã‰lÃ©onore du Brun,Femme,Nantes,61,82058.62,Moyen,"Actions, Immobilier",Épargne de sécurité,Industrie,Trimestriel,Obligations
Alfred Durand,Homme,Marseille,68,83839.95,Moyen,"ETF, Obligations",Retraite,Consommation,Trimestriel,Obligations
Margaux Blin,Homme,Strasbourg,44,28314.86,Moyen,"Obligations, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Maggie Valentin,Femme,Nice,48,39035.33,Moyen,Actions,éducation des enfants,Immobilier,Trimestriel,Immobilier
Corinne Rolland,Femme,Toulouse,56,111730.74,Élevé,"Fundraising, Startups, Actions, Cryptomonnaies, Obligations",Épargne de sécurité,Technologie,Mensuel,ETF
OcÃ©ane Guillou,Femme,Toulouse,45,58862.81,Moyen,"Cryptomonnaies, Matières premières, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
HonorÃ© du Weiss,Homme,Marseille,44,54382.3,Moyen,"Actions, ETF",Retraite,Industrie,Trimestriel,Obligations
HonorÃ© Bertin,Homme,Paris,70,160205.18,Élevé,"Cryptomonnaies, Matières premières, Obligations",Épargne de sécurité,Technologie,Mensuel,Actions
Margaud Laine,Homme,Bordeaux,48,51554.88,Moyen,"Cryptomonnaies, Actions, Immobilier",Achat immobilier,Santé,Trimestriel,ETF
Patricia Chevalier-Renault,Homme,Paris,52,73812.86,Moyen,"Cryptomonnaies, Actions, Startups",Épargne de sécurité,Finance,Trimestriel,ETF
Ã‰ric Monnier-Marin,Homme,Paris,32,70564.42,Élevé,"MatiÃ¨res premiÃ¨res, ETF, Obligations",Investir dans l'éducation,Technologie,Trimestriel,Cryptomonnaies
Susanne Simon,Femme,Paris,25,12013.85,Moyen,"Cryptomonnaies, Actions",épargne de départ,Agriculture,Trimestriel,Obligations
Aurore Barbe de Pichon,Homme,Nice,25,40276.84,Élevé,"MatiÃ¨res premiÃ¨res, Startups, Actions, Immobilier, ETF",Investir dans l'éducation,Santé,Annuel,ETF
Madeleine Lacombe-Lejeune,Homme,Marseille,25,22149.65,Moyen,"Cryptomonnaies, Actions, ETF",épargne de départ,Immobilier,Trimestriel,Immobilier
Marcelle Texier,Femme,Nice,30,44511.55,Élevé,"Actions, Immobilier, Cryptomonnaies, ETF, Obligations",Voyages,Finance,Annuel,Actions
Nicolas Brunel,Femme,Lyon,41,46810.54,Moyen,"Cryptomonnaies, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Paulette Samson,Femme,Toulouse,38,33133.38,Moyen,"Investissement Socialement Responsable, Fundraising",Achat immobilier,Consommation,Trimestriel,Obligations
MichÃ¨le Bailly,Femme,Marseille,41,53673.73,Moyen,"ETF, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Gabriel Lesage,Femme,Lyon,54,100067.06,Élevé,"Obligations, Actions, ETF, Immobilier",Retraite,Finance,Mensuel,Actions
AndrÃ©e-Catherine Tanguy,Femme,Lille,61,94228.71,Moyen,"MatiÃ¨res premiÃ¨res, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Gabrielle Gaudin,Femme,Paris,51,134862.89,Élevé,"Immobilier, Actions, Obligations",Épargne de sécurité,Technologie,Mensuel,ETF
Sylvie Leroux,Homme,Nice,44,106072.72,Élevé,"Obligations, Actions, Investissement Socialement Responsable, Immobilier",Achat immobilier,Finance,Mensuel,Actions
Daniel Briand,Femme,Toulouse,53,62111.1,Moyen,"Actions, ETF, Immobilier",Retraite,Consommation,Trimestriel,Obligations
Augustin Seguin,Femme,Strasbourg,45,40878.63,Moyen,Obligations,Retraite,Agriculture,Trimestriel,Obligations
Daniel Pichon-Breton,Femme,Paris,41,48923.68,Moyen,"Immobilier, Startups",Retraite,Finance,Trimestriel,ETF
Thomas Bonnin,Homme,Paris,43,83775.73,Élevé,"MatiÃ¨res premiÃ¨res, Actions, Immobilier, ETF, Obligations",Achat immobilier,Technologie,Mensuel,Actions
Nicole-Sylvie Leleu,Femme,Paris,54,127416.27,Élevé,"Immobilier, Cryptomonnaies, Actions, Startups",Épargne de sécurité,Finance,Mensuel,ETF
JosÃ©phine Hoarau-Bertin,Homme,Nice,55,111171.62,Élevé,"Immobilier, Actions, Obligations",Retraite,Santé,Mensuel,Actions
Margaret GrÃ©goire,Femme,Toulouse,42,64515.74,Moyen,"Cryptomonnaies, Immobilier",Retraite,Santé,Trimestriel,ETF
BenoÃ®t Alves,Homme,Paris,35,46228.5,Moyen,"Immobilier, Matières premières, Obligations",Achat immobilier,Finance,Trimestriel,ETF
Nicolas Bruneau,Homme,Paris,49,143595.18,Élevé,"Actions, Startups",éducation des enfants,Santé,Mensuel,ETF
Hortense Turpin,Femme,Strasbourg,47,53855.85,Moyen,Obligations,Retraite,Consommation,Trimestriel,Obligations
Georges Pineau,Homme,Montpellier,32,30873.98,Moyen,"Cryptomonnaies, Actions",épargne de départ,Industrie,Trimestriel,Obligations
Jacques Simon,Femme,Marseille,41,73478.16,Élevé,Actions,éducation des enfants,Technologie,Trimestriel,Actions
Aurore Blanchard-Leconte,Femme,Paris,29,39247.68,Moyen,"Immobilier, Startups",Investir dans l'éducation,Agriculture,Trimestriel,Obligations
Denis Perrot,Homme,Nice,25,51310.26,Élevé,"Actions, ETF, Immobilier",épargne de départ,Finance,Trimestriel,ETF
Juliette Giraud,Femme,Strasbourg,52,80392.82,Moyen,"Immobilier, Fundraising",Retraite,Immobilier,Trimestriel,Immobilier
Alix Millet,Femme,Nantes,38,52306.64,Moyen,"Cryptomonnaies, Obligations, Immobilier",Achat immobilier,Santé,Trimestriel,Actions
StÃ©phane-Emmanuel Pereira,Femme,Paris,50,53817.31,Moyen,Immobilier,Retraite,Industrie,Trimestriel,Obligations
Ã‰mile LefÃ¨vre,Femme,Marseille,55,104016.04,Élevé,"Immobilier, ETF, Obligations",Retraite,Santé,Mensuel,ETF
FranÃ§ois-JÃ©rÃ´me Pinto,Homme,Nantes,33,45156.73,Moyen,"MatiÃ¨res premiÃ¨res, Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Martine Cohen,Femme,Nice,40,70908.14,Élevé,"ETF, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
OcÃ©ane Baudry,Femme,Toulouse,55,49253.88,Moyen,Actions,Retraite,Immobilier,Trimestriel,Immobilier
Bernard Perrin,Homme,Paris,25,29309.57,Moyen,"ETF, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
FranÃ§ois Pinto,Homme,Montpellier,38,35795.61,Moyen,"Actions, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Isabelle Dupont,Femme,Lyon,43,82747.26,Élevé,"Actions, ETF, Obligations",éducation des enfants,Technologie,Mensuel,Actions
HÃ©lÃ¨ne de la Lamy,Homme,Nice,45,81531.35,Élevé,"Actions, ETF, Obligations",éducation des enfants,Technologie,Mensuel,ETF
Christine Guillou,Femme,Toulouse,43,43150.93,Moyen,"Actions, Obligations",Achat immobilier,Technologie,Trimestriel,Actions
Alice-Ã‰dith Chevallier,Femme,Paris,54,36502.99,Moyen,"Actions, Matières premières",Retraite,Agriculture,Trimestriel,Obligations
Christelle Becker Le Pottier,Homme,Marseille,25,21517.11,Moyen,"Cryptomonnaies, Actions, Fundraising",épargne de départ,Agriculture,Trimestriel,Obligations
LÃ©on Menard,Femme,Paris,46,71468.68,Moyen,"Cryptomonnaies, ETF",Retraite,Industrie,Trimestriel,Obligations
Camille Texier,Femme,Toulouse,52,24168.33,Faible,MatiÃ¨res premiÃ¨res,Retraite,Immobilier,Annuel,Immobilier
ThÃ©odore-Pierre Pruvost,Homme,Paris,40,58423.94,Moyen,"Immobilier, Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Susan-JosÃ©phine Mathieu,Femme,Marseille,33,42014.64,Moyen,"Immobilier, Actions, Obligations",Investir dans l'éducation,Technologie,Trimestriel,Actions
Marc-Daniel Blanc,Femme,Nantes,29,12083.6,Moyen,"Cryptomonnaies, Obligations",Voyages,Immobilier,Trimestriel,Immobilier
OcÃ©ane-Claude Arnaud,Homme,Lyon,68,120922.44,Moyen,"Cryptomonnaies, Startups",Retraite,Agriculture,Trimestriel,Obligations
Christelle Cordier-Letellier,Homme,Paris,40,84120.24,Élevé,"ETF, Immobilier",éducation des enfants,Technologie,Mensuel,Actions
Alexandre Denis,Femme,Marseille,58,80407.49,Moyen,"Obligations, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
FrÃ©dÃ©ric Le Hernandez,Homme,Marseille,25,9519.75,Moyen,"MatiÃ¨res premiÃ¨res, ETF",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Gilles Perrot,Homme,Paris,52,77443.64,Moyen,"Cryptomonnaies, Actions, ETF",Retraite,Immobilier,Trimestriel,Immobilier
Raymond Marin,Homme,Paris,30,63589.07,Élevé,"Fundraising, Actions, Immobilier, Cryptomonnaies, Obligations",Investir dans l'éducation,Technologie,Trimestriel,Actions
Thibault Berger,Homme,Paris,54,136375,Élevé,"Cryptomonnaies, Actions, Matières premières, ETF",Retraite,Finance,Mensuel,Actions
Claire Guillaume,Homme,Montpellier,42,61773.54,Moyen,"Immobilier, Actions, Fundraising",Achat immobilier,Immobilier,Trimestriel,Immobilier
Dominique de la Blin,Homme,Nantes,25,34714,Élevé,"Obligations, ETF, Immobilier",Voyages,Immobilier,Annuel,Immobilier
OcÃ©ane Vaillant,Homme,Toulouse,39,59068.8,Moyen,"Actions, ETF",Retraite,Technologie,Trimestriel,ETF
GÃ©rard Laporte Le Carpentier,Homme,Lille,57,46595.25,Moyen,"Cryptomonnaies, Actions",Épargne de sécurité,Santé,Trimestriel,ETF
Martine Julien,Homme,Paris,43,103375.1,Élevé,"MatiÃ¨res premiÃ¨res, Startups, Actions, Immobilier, Obligations",Retraite,Santé,Mensuel,Actions
Margaret VallÃ©e,Femme,Bordeaux,41,51521,Moyen,"Cryptomonnaies, Actions",Retraite,Industrie,Trimestriel,Obligations
Laurent Buisson de la Navarro,Homme,Toulouse,36,39517.98,Moyen,"Actions, Matières premières, ETF",éducation des enfants,Industrie,Trimestriel,Obligations
Alexandre Marques,Femme,Toulouse,27,30419.61,Moyen,"Actions, ETF, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Tristan Renaud,Homme,Nantes,39,63164.51,Élevé,"Immobilier, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
JosÃ©phine Hardy,Femme,Paris,50,120584.86,Élevé,Obligations,Retraite,Santé,Mensuel,Actions
Julien Payet,Homme,Toulouse,41,41631.7,Moyen,"Cryptomonnaies, Actions",Achat immobilier,Santé,Trimestriel,Actions
Marc Le Gall-Bigot,Homme,Montpellier,53,74715.59,Moyen,"Actions, Investissement Socialement Responsable",Retraite,Technologie,Trimestriel,ETF
Marcelle Antoine,Femme,Paris,35,61291.73,Élevé,"Cryptomonnaies, Actions, ETF",Achat immobilier,Finance,Trimestriel,ETF
GÃ©rard Bailly-Samson,Homme,Nice,35,76942.49,Élevé,"ETF, Immobilier",éducation des enfants,Technologie,Trimestriel,Startups
Daniel Gauthier,Homme,Paris,31,62605.02,Élevé,"Cryptomonnaies, ETF, Obligations",Voyages,Technologie,Trimestriel,ETF
Jeannine Brun,Femme,Paris,38,68838.01,Élevé,"Actions, ETF, Immobilier",Achat immobilier,Finance,Trimestriel,Actions
Marie Guichard,Femme,Strasbourg,45,58510.13,Moyen,"Investissement Socialement Responsable, ETF",Retraite,Consommation,Trimestriel,Obligations
Roger Charpentier,Homme,Lyon,34,74414.13,Élevé,"Cryptomonnaies, Actions, Obligations",épargne de départ,Technologie,Trimestriel,Cryptomonnaies
Marianne Guilbert,Homme,Paris,28,44005.58,Élevé,"Actions, Obligations",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Isabelle Perret,Femme,Toulouse,46,32567.46,Moyen,"MatiÃ¨res premiÃ¨res, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Alexandre Carlier,Homme,Lyon,26,42581.95,Élevé,"Immobilier, Obligations, Startups",Investir dans l'éducation,Finance,Annuel,ETF
Michelle Fernandes Le Legrand,Homme,Marseille,63,63604.64,Moyen,"MatiÃ¨res premiÃ¨res, Actions",Épargne de sécurité,Consommation,Trimestriel,Obligations
Joseph Berthelot du Paul,Femme,Paris,51,82473.43,Moyen,"ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
FrÃ©dÃ©rique Le Roux,Femme,Lyon,60,85588.51,Moyen,"Investissement Socialement Responsable, Matières premières",Épargne de sécurité,Consommation,Trimestriel,Obligations
Philippe-Ã‰tienne Gilbert,Femme,Paris,53,149452.56,Élevé,"ETF, Obligations",Épargne de sécurité,Technologie,Mensuel,ETF
Agathe Gaillard,Femme,Marseille,25,25403.75,Moyen,"ETF, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Lucas Michel,Homme,Paris,47,44260.6,Moyen,Obligations,éducation des enfants,Immobilier,Trimestriel,Immobilier
Juliette Diallo,Femme,Toulouse,40,26928.45,Moyen,"Cryptomonnaies, ETF, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Zacharie Pierre-Blot,Femme,Toulouse,53,28475.75,Moyen,"Investissement Socialement Responsable, ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Marc de la Delaunay,Femme,Paris,29,9306.57,Moyen,Actions,Investir dans l'éducation,Consommation,Trimestriel,Obligations
InÃ¨s du Dubois,Femme,Bordeaux,40,17694.15,Moyen,"Obligations, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Robert MendÃ¨s,Femme,Nice,49,81105.13,Moyen,"Obligations, Immobilier",Retraite,Finance,Trimestriel,ETF
Audrey Dupont,Femme,Bordeaux,31,42164.85,Moyen,"MatiÃ¨res premiÃ¨res, Actions, Obligations",Investir dans l'éducation,Finance,Trimestriel,ETF
AndrÃ©-Auguste Bazin,Homme,Lyon,68,108727.23,Moyen,"Cryptomonnaies, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Madeleine Foucher de Sauvage,Homme,Nice,30,40103.96,Moyen,"Actions, Immobilier",épargne de départ,Finance,Trimestriel,Actions
Victoire Blanchard,Femme,Marseille,38,49061.38,Moyen,"Actions, ETF, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Nicolas Colas,Homme,Paris,25,39022.34,Élevé,"Obligations, Actions, Immobilier",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Olivie de la Rodriguez,Femme,Bordeaux,45,48463.85,Moyen,ETF,Retraite,Santé,Trimestriel,ETF
BenoÃ®t Vidal-Navarro,Homme,Marseille,40,55573.23,Moyen,"Cryptomonnaies, Obligations",Retraite,Finance,Trimestriel,ETF
Audrey-Margaux De Sousa,Femme,Paris,59,117644.31,Élevé,"Startups, Obligations, Actions, Fundraising",Retraite,Finance,Mensuel,Actions
DorothÃ©e Nicolas,Homme,Toulouse,29,32425.14,Moyen,"MatiÃ¨res premiÃ¨res, Actions, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
ClÃ©mence-Sylvie Pineau,Homme,Lyon,35,43056.6,Moyen,"Cryptomonnaies, Immobilier",Retraite,Consommation,Trimestriel,Obligations
Alphonse Dupuy,Homme,Montpellier,44,47262.62,Moyen,"Obligations, Startups",Retraite,Agriculture,Trimestriel,Obligations
Georges Morvan du Bouvier,Femme,Lyon,38,50633.97,Moyen,"ETF, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
OcÃ©ane Guyot,Homme,Montpellier,55,43826.54,Moyen,Cryptomonnaies,Retraite,Agriculture,Trimestriel,Obligations
William Roussel de la Roussel,Femme,Marseille,35,42073.39,Moyen,"Startups, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Anne Mercier de la Seguin,Femme,Paris,33,49513.33,Moyen,"Actions, ETF",épargne de départ,Immobilier,Trimestriel,Immobilier
Benjamin Mallet,Femme,Paris,65,93961.6,Moyen,"Actions, Fundraising",Retraite,Technologie,Trimestriel,ETF
Pauline Petit,Femme,Nice,41,81348.33,Élevé,"Investissement Socialement Responsable, Actions, Immobilier, ETF, Obligations",Retraite,Finance,Mensuel,ETF
Isabelle Vincent,Homme,Marseille,54,82014.89,Moyen,"MatiÃ¨res premiÃ¨res, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Zacharie Rossi,Femme,Paris,51,54863.93,Moyen,Actions,Retraite,Agriculture,Trimestriel,Obligations
Alex Cousin,Femme,Paris,48,105788.57,Élevé,"Immobilier, Actions, ETF, Obligations",éducation des enfants,Santé,Mensuel,ETF
Bernard Hebert,Homme,Lille,61,101499.58,Moyen,ETF,Retraite,Immobilier,Trimestriel,Immobilier
Virginie Lemonnier,Homme,Paris,42,77763.09,Élevé,"Startups, Cryptomonnaies, Matières premières, Obligations",Achat immobilier,Santé,Trimestriel,ETF
Benjamin Devaux,Femme,Bordeaux,64,62922.44,Moyen,"Cryptomonnaies, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Susan Le Vaillant,Femme,Marseille,64,90212.83,Moyen,"Cryptomonnaies, Actions, Obligations",Épargne de sécurité,Consommation,Trimestriel,Obligations
Pauline de la Ferrand,Femme,Bordeaux,39,47028.01,Moyen,"Actions, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Sylvie Louis,Homme,Bordeaux,54,75189.26,Moyen,"Actions, ETF",Épargne de sécurité,Agriculture,Trimestriel,Obligations
Augustin Leblanc,Homme,Paris,26,33478.5,Moyen,"Immobilier, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Michelle Weiss du Maury,Femme,Marseille,35,60827.35,Élevé,"Actions, ETF, Startups",éducation des enfants,Technologie,Trimestriel,ETF
Philippe Texier-Guillot,Homme,Bordeaux,35,28297.66,Moyen,"Actions, Obligations",Retraite,Finance,Trimestriel,ETF
Hugues Bernard,Femme,Lyon,45,49410.24,Moyen,"Obligations, ETF, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
Antoinette Ledoux,Homme,Marseille,70,100325.99,Moyen,"Actions, ETF, Fundraising",Retraite,Technologie,Trimestriel,ETF
Jean Lucas de Marion,Femme,Paris,25,38009.18,Élevé,"Cryptomonnaies, Obligations, ETF, Immobilier",Investir dans l'éducation,Immobilier,Annuel,Immobilier
PÃ©nÃ©lope Dijoux,Femme,Toulouse,38,46737.42,Moyen,"Immobilier, Startups",Achat immobilier,Santé,Trimestriel,Actions
Paulette de la Costa,Femme,Marseille,25,20676.52,Moyen,"Actions, ETF, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Thierry Chauvet,Homme,Lyon,28,27725.9,Moyen,"Actions, Immobilier",épargne de départ,Consommation,Trimestriel,Obligations
AimÃ© ChrÃ©tien,Femme,Marseille,25,28722.33,Moyen,Obligations,épargne de départ,Immobilier,Trimestriel,Immobilier
Pierre Garcia-Leduc,Femme,Marseille,25,19554.16,Moyen,"ETF, Obligations",Voyages,Consommation,Trimestriel,Obligations
NoÃ©mi-Louise Le Roux,Homme,Marseille,46,48972.52,Moyen,"Investissement Socialement Responsable, Matières premières",Achat immobilier,Finance,Trimestriel,ETF
Sophie Hardy,Homme,Paris,51,51308.87,Moyen,"Investissement Socialement Responsable, Actions",Retraite,Finance,Trimestriel,ETF
Dominique Bouvet,Femme,Lyon,36,65023.51,Élevé,"Cryptomonnaies, Actions",éducation des enfants,Finance,Trimestriel,ETF
Olivier Albert,Homme,Nantes,58,86658.15,Moyen,"Investissement Socialement Responsable, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
FrÃ©dÃ©ric Gimenez,Femme,Paris,48,76306.45,Moyen,"Actions, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
ThÃ©rÃ¨se Hernandez,Femme,Marseille,43,64184.18,Moyen,"Actions, Obligations",éducation des enfants,Technologie,Trimestriel,ETF
Marcelle-Catherine Brun,Femme,Lille,50,71672.15,Moyen,Cryptomonnaies,Retraite,Agriculture,Trimestriel,Obligations
Emmanuel Masse,Homme,Marseille,31,27404.02,Moyen,"Actions, ETF, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Constance Goncalves-MendÃ¨s,Femme,Marseille,52,63163.2,Moyen,"Actions, Immobilier",Retraite,Consommation,Trimestriel,Obligations
Madeleine Bonneau,Homme,Marseille,33,30538.5,Moyen,"Actions, Immobilier",épargne de départ,Consommation,Trimestriel,Obligations
MichÃ¨le du Charrier,Femme,Toulouse,27,28603.24,Moyen,"Actions, ETF",Investir dans l'éducation,Consommation,Trimestriel,Obligations
CÃ©lina Bruneau,Femme,Toulouse,39,45258.44,Moyen,"Cryptomonnaies, Actions, Fundraising",Retraite,Immobilier,Trimestriel,Immobilier
Laurence Bouvier,Femme,Bordeaux,43,58168.84,Moyen,"ETF, Immobilier",Retraite,Finance,Trimestriel,ETF
JÃ©rÃ´me Lefort,Femme,Marseille,47,80704.06,Moyen,"Obligations, Investissement Socialement Responsable, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Michel Ruiz-Rey,Femme,Paris,44,55188.07,Moyen,"Actions, Fundraising, Obligations",Achat immobilier,Santé,Trimestriel,Actions
Alix LÃ©vÃªque,Homme,Nantes,42,36757.99,Moyen,"Startups, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
VÃ©ronique Lopez,Femme,Lyon,25,24594.17,Moyen,"Startups, Immobilier",Voyages,Immobilier,Trimestriel,Immobilier
AndrÃ© Lebrun,Homme,Lille,35,34930.79,Moyen,"Actions, ETF",éducation des enfants,Immobilier,Trimestriel,Immobilier
Hortense Germain,Femme,Paris,41,63579.27,Moyen,"MatiÃ¨res premiÃ¨res, Investissement Socialement Responsable",Achat immobilier,Santé,Trimestriel,Actions
AdÃ¨le-Nathalie Schneider,Femme,Paris,31,49278.71,Élevé,"Obligations, ETF, Startups",Investir dans l'éducation,Technologie,Annuel,ETF
AndrÃ© Brunel-Pires,Homme,Paris,39,47835.17,Moyen,"Actions, Immobilier",Retraite,Santé,Trimestriel,ETF
Alexandrie Fernandes,Homme,Lyon,52,78503.34,Moyen,"Cryptomonnaies, Obligations, Startups",Épargne de sécurité,Technologie,Trimestriel,ETF
AdÃ¨le Le Delmas,Femme,Paris,49,97214.75,Élevé,"Actions, Immobilier, Cryptomonnaies, ETF, Obligations",Retraite,Technologie,Mensuel,Actions
Pauline Lefort,Homme,Lille,41,59338.09,Moyen,"Actions, ETF, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Antoinette Ã‰tienne-VallÃ©e,Homme,Paris,63,129666.22,Élevé,"Obligations, Immobilier",Épargne de sécurité,Finance,Mensuel,Actions
Jules de la Dufour,Femme,Marseille,25,22572.7,Moyen,"MatiÃ¨res premiÃ¨res, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Philippe Pires-Rocher,Femme,Strasbourg,35,40901.49,Moyen,"Immobilier, Startups",éducation des enfants,Santé,Trimestriel,ETF
Danielle Ferrand,Homme,Strasbourg,45,64170.66,Moyen,"Actions, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Benjamin Bouvier Le Bonnet,Femme,Paris,40,40351.54,Moyen,"MatiÃ¨res premiÃ¨res, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Joseph Parent,Femme,Paris,27,32005.77,Moyen,"ETF, Immobilier",Investir dans l'éducation,Consommation,Trimestriel,Obligations
Caroline Leroy,Femme,Montpellier,44,60964.6,Moyen,"ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Odette Salmon,Homme,Nice,33,69084.41,Élevé,"Actions, ETF",Voyages,Finance,Trimestriel,Actions
Michelle-Pauline Moreno,Femme,Montpellier,31,33293.63,Moyen,"Investissement Socialement Responsable, Matières premières",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Richard Lecomte-Blin,Femme,Bordeaux,36,29711.96,Moyen,"MatiÃ¨res premiÃ¨res, Actions, Startups",éducation des enfants,Immobilier,Trimestriel,Immobilier
Adrienne Laine Le Allard,Femme,Marseille,42,52923.72,Moyen,"Cryptomonnaies, Actions, ETF",Retraite,Agriculture,Trimestriel,Obligations
Zacharie Perrier du Marin,Homme,Paris,49,119577.08,Élevé,"Obligations, Fundraising, Immobilier",Achat immobilier,Technologie,Mensuel,ETF
Gilbert Pages,Homme,Nice,47,69255.9,Moyen,"Cryptomonnaies, Matières premières",Achat immobilier,Immobilier,Trimestriel,Immobilier
Vincent Legros,Homme,Paris,41,56632.42,Moyen,"Actions, Matières premières, Obligations",Retraite,Finance,Trimestriel,ETF
Madeleine Gros-Lamy,Femme,Strasbourg,30,36997.67,Moyen,"Cryptomonnaies, Actions, Obligations",Voyages,Immobilier,Trimestriel,Immobilier
Manon-Constance Barthelemy,Femme,Lyon,31,39590.84,Moyen,"ETF, Startups",Voyages,Immobilier,Trimestriel,Immobilier
GÃ©rard Gaillard Le Tessier,Homme,Marseille,58,105677.02,Élevé,"Immobilier, Actions, Fundraising",Retraite,Santé,Mensuel,ETF
RenÃ©e Le Delahaye,Homme,Lyon,41,73570.6,Élevé,"Obligations, Actions, Immobilier",éducation des enfants,Santé,Trimestriel,Actions
Alain Pons,Homme,Strasbourg,70,30980.74,Faible,Cryptomonnaies,Retraite,Immobilier,Annuel,Immobilier
NoÃ«l Faivre,Homme,Toulouse,56,49910.46,Moyen,"ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
